Description,Location,Price (PHP),Bedrooms,Floor_area (sqm),Land_area (sqm),Link
"For Sale 2 Houses in Compound in Moonwalk Village, Paranaque City","Moonwalk, Paranaque","25,000,000",9,521,478,https://www.lamudi.com.ph/for-sale-2-houses-in-compound-in-moonwalk-village-paranaque-city.html
6 Bedroom Minimalist Design House & Lot for Sale in San Juan City Nr. Greenhills,"Tibagan, San Juan","72,000,000",6,637,534,https://www.lamudi.com.ph/6-bedroom-minimalist-design-house-lot-for-sale-in-san-juan-city-nr-greenhills.html
House For Sale Corner Loyola Grand Villas Mansion with View in Quezon City,"Matandang Balara, Quezon City","70,000,000",7,1000,704,https://www.lamudi.com.ph/house-for-sale-corner-loyola-grand-villas-mansion-with-view-in-quezon-city.html
MODERN ELEGANT DESIGN HOUSE AND LOT FOR SALE IN BF HOMES PARANAQUE,"B.F. Homes, Paranaque","20,000,000",4,370,280,https://www.lamudi.com.ph/modern-elegant-design-house-and-lot-for-sale-in-bf-homes-paranaque-80.html
Dasmarinas Village Makati house for sale sprawling bungalow,"Dasmarinas, Makati","619,300,000",4,650,1441,https://www.lamudi.com.ph/dasmarinas-village-makati-house-for-sale-sprawling-bungalow.html
San Juan Alluring 6BR Single Detached House and Lot For Sale with Swimming Pool,"Tibagan, San Juan","72,000,000",6,637,534,https://www.lamudi.com.ph/san-juan-alluring-6br-single-detached-house-and-lot-for-sale-with-swimming-pool.html
Single Attached House for Sale in Kingspoint Subd Novaliches Quezon City - Rey,"Novaliches, Quezon City","8,500,000",3,80,90,https://www.lamudi.com.ph/single-attached-house-for-sale-in-kingspoint-subd-novaliches-quezon-city-rey.html
"4 Bedrooms 4 T&B, Townhomes For Sale in Sikatuna, Quezon City","Sikatuna Village, Quezon City","21,000,000",4,188,99,https://www.lamudi.com.ph/4-bedrooms-4-t-b-townhomes-for-sale-in-sikatuna-quezon-city.html
"Best Deal! BF Homes|4 Bedroom House and Lot For Sale in BF, Paranaque City","B.F. Homes, Paranaque","28,500,000",4,380,280,https://www.lamudi.com.ph/best-deal-bf-homes-4-bedroom-house-and-lot-for-sale-in-bf-paranaque-city.html
House For Sale Congressional Heights Townhomes 4Storey in Bahay Toro Quezon City,"Bahay Toro, Quezon City","13,500,000",4,215,55,https://www.lamudi.com.ph/house-for-sale-congressional-heights-townhomes-4storey-in-bahay-toro-quezon-city.html
"For Sale Brand New Townhouse near BF Homes Paranaque, End Unit, 180 sqm","B.F. Homes, Paranaque","8,500,000",3,180,98,https://www.lamudi.com.ph/for-sale-brand-new-townhouse-near-bf-homes-paranaque-end-unit-180-sqm.html
"L-S-5-201604-5- Acquired Property for Sale in Unit 9-B, Block 14, EMERALD COAST EXECU...","Duale, Limay","1,657,150",1,80,no info,https://www.lamudi.com.ph/l-s-5-201604-5-acquired-property-for-sale-in-unit-9-b-block-14-emerald-coast-executive-village-brgy-peas-duale-limay-bataan-sub.html
"VIVALDI House for Sale in Forest Farms The Grove at Havila, Angono, Rizal","Mahabang Parang, Angono","6,494,000",3,132,266,https://www.lamudi.com.ph/vivaldi-house-for-sale-in-forest-farms-the-grove-at-havila-angono-rizal-1.html
Magnificent house for Sale in Fairview Quezon City - Rey Samaniego,"Novaliches, Quezon City","32,000,000",5,400,300,https://www.lamudi.com.ph/magnificent-house-for-sale-in-fairview-quezon-city-rey-samaniego.html
4 Bedroom Brandnew Townhouse for Sale in Mandaluyong City - DS881848,"New Zaniga, Mandaluyong","45,000,000",4,359,104,https://www.lamudi.com.ph/4-bedroom-brandnew-townhouse-for-sale-in-mandaluyong-city-ds881848.html
"CHOPIN House and Lot for Sale in Forest Farms The Grove at Havila, Angono, Rizal","Mahabang Parang, Angono","6,169,300",3,113,266,https://www.lamudi.com.ph/chopin-house-and-lot-for-sale-in-forest-farms-the-grove-at-havila-angono-rizal-1.html
"ROSSINI House for Sale in Forest Farms The Grove at Havila, Angono, Rizal","Mahabang Parang, Angono","7,786,700",4,163,291,https://www.lamudi.com.ph/rossini-house-for-sale-in-forest-farms-the-grove-at-havila-angono-rizal-1.html
"For Sale New Manila House and Lot in New Manila, Quezon City","New Manila, Quezon City","65,000,000",5,500,292,https://www.lamudi.com.ph/for-sale-new-manila-house-and-lot-in-new-manila-quezon-city.html
Extraordinary Stylish Mediterranean Bungalow high ceiling three ( 3 ) Bedrooms,"B.F. Homes, Paranaque","19,500,000",3,180,204,https://www.lamudi.com.ph/extraordinary-stylish-mediterranean-bungalow-high-ceiling-three-3-bedrooms-35.html
"DIANA House and Lot for Sale in New Leaf, Trece Martires, Cavite","Perez, Trece Martires","1,433,170",2,37,70,https://www.lamudi.com.ph/diana-house-and-lot-for-sale-in-new-leaf-trece-martires-cavite-1.html
Green Meadows Subdivision 3BR Luxurious House for Sale in Quezon City-DS882264,"Ugong Norte, Quezon City","265,000,000",3,500,805,https://www.lamudi.com.ph/green-meadows-subdivision-3br-luxurious-house-for-sale-in-quezon-city-ds882264.html
Teacher's Village Quezon City 3-storey Townhouse,"Diliman, Quezon City","23,000,000",4,270,101,https://www.lamudi.com.ph/teachers-village-quezon-city-3-storey-townhouse.html
Prime Property at White Plains Quezon City,"White Plains, Quezon City","118,000,000",4,400,520,https://www.lamudi.com.ph/prime-property-at-white-plains-quezon-city.html
VergonVille Subdivision 6BR Bungalow House for Sale in Las Pinas City- DS881794,"Pulang Lupa Dos, Las Pinas","9,000,000",6,150,192,https://www.lamudi.com.ph/vergonville-subdivision-6br-bungalow-house-for-sale-in-las-pinas-city-ds881794.html
Single Attached House for Sale in Kingspoint Subd Quezon City worth 9.8M  - Rey,"Fairview, Quezon City","9,800,000",4,150,120,https://www.lamudi.com.ph/single-attached-house-for-sale-in-kingspoint-subd-quezon-city-worth-9-8m-rey.html
5BR Townhouse for sale Commonwealth nr Tandang Sora Congressional Quezon City,"Katipunan, Quezon City","11,500,000",5,187,80,https://www.lamudi.com.ph/5br-townhouse-for-sale-commonwealth-nr-tandang-sora-congressional-quezon-city.html
"House and Lot for sale in Mandaluyong City , Townhouse for sale, 4 Bed Rooms","Plainview, Mandaluyong","27,900,000",4,270,75,https://www.lamudi.com.ph/house-and-lot-for-sale-in-mandaluyong-city-townhouse-for-sale-4-bed-rooms.html
Don Antonio Commonwealth Quezon City Townhouse,"Commonwealth, Quezon City","24,500,000",6,330,122,https://www.lamudi.com.ph/don-antonio-commonwealth-quezon-city-townhouse.html
"2-Storey House for Sale at Wedgewood Village, Cavite in Silang","Inchican, Silang","42,000,000",4,470,787,https://www.lamudi.com.ph/2-storey-house-for-sale-at-wedgewood-village-cavite-in-silang.html
"CRISSA House for Sale in Tierra Vista at San Rafael Estates, Bulacan -Inner Unit","San Roque, San Rafael","1,700,000",2,38,41,https://www.lamudi.com.ph/crissa-house-for-sale-in-tierra-vista-at-san-rafael-estates-bulacan-inner-unit.html
"Vista Verde Executive Village 4BR Impressive House For Sale in Cainta, Rizal","San Isidro, Cainta","29,000,000",4,720,840,https://www.lamudi.com.ph/vista-verde-executive-village-4br-impressive-house-for-sale-in-cainta-rizal.html
Townhouse for sale near Teachers Village Diliman Quezon City near Araneta Center,"Teachers Village East, Quezon City","9,180,000",3,138,50,https://www.lamudi.com.ph/townhouse-for-sale-near-teachers-village-diliman-quezon-city-near-araneta-center-1.html
"Classico Modern 4-Bedroom House with Pool For Sale in Magallanes Village, Makati","Magallanes, Makati","127,500,000",5,470,425,https://www.lamudi.com.ph/classico-modern-4-bedroom-house-with-pool-for-sale-in-magallanes-village-makati.html
"Southpeak House and Lot San Pedro Laguna near SLEX, Munt., Alabang, Makati, BGC","San Antonio, San Pedro","9,300,000",5,188,197,https://www.lamudi.com.ph/southpeak-house-and-lot-san-pedro-laguna-near-slex-munt-alabang-makati-bgc.html
"House For Sale in Camp 7, Baguio City","Camp 7, Baguio","16,000,000",4,270,131,https://www.lamudi.com.ph/house-for-sale-in-camp-7-baguio-city.html
"TULIP House and Lot for Sale in Amarilyo Crest at Havila, Taytay, Rizal","San Juan, Taytay","7,838,400",no info,83,140,https://www.lamudi.com.ph/tulip-house-and-lot-for-sale-in-amarilyo-crest-at-havila-taytay-rizal.html
"BERNICE House and Lot for Sale in New Leaf, Trece Martires, Cavite","Perez, Trece Martires","1,243,490",1,27,252,https://www.lamudi.com.ph/bernice-house-and-lot-for-sale-in-new-leaf-trece-martires-cavite-1.html
"Duplex House and Lot for sale in BGC - Bonifacio Global City, Taguig City","Western Bicutan, Taguig","48,800,000",4,200,410,https://www.lamudi.com.ph/duplex-house-and-lot-for-sale-in-bgc-bonifacio-global-city-taguig-city.html
"For Sale 200 sqm Lot with 3 Bedroom Single-Storey House in Saguin, San Fernando","Saguin, San Fernando","4,000,000",3,150,200,https://www.lamudi.com.ph/for-sale-200-sqm-lot-with-3-bedroom-single-storey-house-in-saguin-san-fernando.html
For Sale House and lot in Capitol Hills Quezon City near Ateneo and UP Diliman,"Capitol Hills, Quezon City","27,325,595",4,185,109,https://www.lamudi.com.ph/for-sale-house-and-lot-in-capitol-hills-quezon-city-near-ateneo-and-up-diliman.html
"2-Storey House for Sale in Ameria, Panabo, Davao del Norte - Acacia Model","New Pandan, Panabo","16,000,000",4,254,337,https://www.lamudi.com.ph/2-storey-house-for-sale-in-ameria-panabo-davao-del-norte-acacia-model.html
"For Sale 2 Bedroom Single House & Lot, RFO Grenville. Big Lot. in Taguig","Tuktukan, Taguig","10,900,000",2,70,156,https://www.lamudi.com.ph/for-sale-2-bedroom-single-house-lot-rfo-grenville-big-lot-in-taguig.html
Greenwoods Executive Village | Four Bedroom House & Lot For Sale in Pasig City,"Pinagbuhatan, Pasig","25,000,000",4,520,287,https://www.lamudi.com.ph/greenwoods-executive-village-four-bedroom-house-lot-for-sale-in-pasig-city.html
House For Sale Elegant Home in TREVI Private Village in Marikina City,"Concepcion Uno, Marikina","13,500,000",4,214,150,https://www.lamudi.com.ph/house-for-sale-elegant-home-in-trevi-private-village-in-marikina-city.html
Brand New Modern House near Commonwealth Quezon City,"Bagong Silangan, Quezon City","25,000,000",5,307,240,https://www.lamudi.com.ph/brand-new-modern-house-near-commonwealth-quezon-city.html
"Overlooking House and Lot for sale in Woodland Hills, San Mateo, Rizal (PL#9998)","Silangan, San Mateo","14,000,000",3,312,152,https://www.lamudi.com.ph/overlooking-house-and-lot-for-sale-in-woodland-hills-san-mateo-rizal-pl-9998.html
Elegant Brand New Townhouse For Sale in Tandang Sora,"Culiat, Quezon City","8,500,000",4,115,45,https://www.lamudi.com.ph/elegant-brand-new-townhouse-for-sale-in-tandang-sora.html
"3 Bedroom Townhouse For sale near SM Cherry Antipolo and LRT Station, Antipolo","Mayamot, Antipolo","5,650,000",3,78,82,https://www.lamudi.com.ph/3-bedroom-townhouse-for-sale-near-sm-cherry-antipolo-and-lrt-station-antipolo.html
"New 4 bedroom house for Sale in Greenwoods, San Andres Cainta","San Andres, Cainta",no info,4,188,100,https://www.lamudi.com.ph/new-4-bedroom-house-for-sale-in-greenwoods-san-andres-cainta.html
5 Bedroom Townhouse w/ Basement Parking and Multi Purpose Room in San Juan City,"Corazon de Jesus, San Juan","40,000,000",5,374,no info,https://www.lamudi.com.ph/5-bedroom-townhouse-w-basement-parking-and-multi-purpose-room-in-san-juan-city.html
"Fully Renovated Bungalow For Sale house and lot for sale B.F. Homes, Paranaque","B.F. Homes, Paranaque","40,000,000",4,500,612,https://www.lamudi.com.ph/fully-renovated-bungalow-for-sale-house-and-lot-for-sale-b-f-homes-paranaque.html
"For Sale House & Lot at Parkplace Village Imus, Cavite","Anabu I-D, Imus","8,000,000",2,280,150,https://www.lamudi.com.ph/for-sale-house-lot-at-parkplace-village-imus-cavite.html
"For Sale Corner Lot Adelle 4BR/2TB RFO Townhouse P20K to Reserve, Imus","Alapan II-B, Imus","5,359,000",4,70,60,https://www.lamudi.com.ph/for-sale-corner-lot-adelle-4br-2tb-rfo-townhouse-p20k-to-reserve-imus.html
Brand New Semi Furnished 4 Bedroom House for Sale in Davao City,"Catalunan Grande, Davao","8,200,000",4,165,158,https://www.lamudi.com.ph/brand-new-semi-furnished-4-bedroom-house-for-sale-in-davao-city.html
Townhouse for sale in Banawe Quezon City near Banawe Del Monte Ave,"Del Monte, Quezon City","26,300,000",4,280,96,https://www.lamudi.com.ph/townhouse-for-sale-in-banawe-quezon-city-near-banawe-del-monte-ave.html
Affordable 3 Bedroom & 2T&B Townhouse in Caloocan City For Sale,"Camarin, Caloocan","3,950,000",3,82,47,https://www.lamudi.com.ph/affordable-3-bedroom-2t-b-townhouse-in-caloocan-city-for-sale.html
Elegant Residential house and lot for Sale,"Isis, Polanco","11,000,000",3,290,12802,https://www.lamudi.com.ph/elegant-residential-house-and-lot-for-sale.html
House and Lot Beside StaRosa Laguna SLEX Exit Highly Accessible thru Pag-ibig,"Balibago, Santa Rosa","3,200,000",2,58,50,https://www.lamudi.com.ph/house-and-lot-beside-starosa-laguna-slex-exit-highly-accessible-thru-pag-ibig.html
"150sqm Lot Customized Single Detached House and Lot For Sale in Greenview, Q.C","Sauyo, Quezon City","15,000,000",5,100,150,https://www.lamudi.com.ph/150sqm-lot-customized-single-detached-house-and-lot-for-sale-in-greenview-q-c.html
"Bungalow House for Sale in Ameria, Panabo, Davao del Norte - Molave Model","New Pandan, Panabo","12,000,000",3,138,388,https://www.lamudi.com.ph/bungalow-house-for-sale-in-ameria-panabo-davao-del-norte-molave-model.html
"Brand New Elegant House and Lot for Sale in B.F. Homes, Paranaque","B.F. Homes, Paranaque","19,850,000",4,240,182,https://www.lamudi.com.ph/brand-new-elegant-house-and-lot-for-sale-in-b-f-homes-paranaque-3.html
For Sale Eugenie 3BR 2 Storey house and lot in Angeles City 7 kms to SM Clark,"Sapalibutad, Angeles","3,217,300",3,87,132,https://www.lamudi.com.ph/for-sale-eugenie-3br-2-storey-house-and-lot-in-angeles-city-7-kms-to-sm-clark.html
20% Downpayment Lipat Agad House and Lot For Sale General Trias nr MOA Airport,"Pasong Camachile I, General Trias",no info,3,50,50,https://www.lamudi.com.ph/20-downpayment-lipat-agad-house-and-lot-for-sale-general-trias-nr-moa-airport.html
"REPRICED! Bungalow House and Lot For Sale in BF Homes Almanza, Las Pinas City","Almanza Uno, Las Pinas","11,000,000",4,190,276,https://www.lamudi.com.ph/repriced-bungalow-house-and-lot-for-sale-in-bf-homes-almanza-las-pinas-city.html
"House and Lot For Sale at Wedgewoods Subdivision, Silang Cavite","Inchican, Silang",no info,4,470,787,https://www.lamudi.com.ph/house-and-lot-for-sale-at-wedgewoods-subdivision-silang-cavite.html
"Ready for occupancy 3 BR House along Molino Blvd., near airport and Mall of Asia","Molino II, Bacoor","3,800,000",3,60,180,https://www.lamudi.com.ph/ready-for-occupancy-3-br-house-along-molino-blvd-near-airport-and-mall-of-asia.html
"Cozy Brand new house and lot for sale in Filinvest Heights, Quezon City","Commonwealth, Quezon City","19,700,000",4,375,228,https://www.lamudi.com.ph/cozy-brand-new-house-and-lot-for-sale-in-filinvest-heights-quezon-city-27.html
"Brand New 3 Car Garage Townhouse in San Juan near Greenhills, Xavier and ICA","Little Baguio, San Juan","51,230,100",4,450,165,https://www.lamudi.com.ph/brand-new-3-car-garage-townhouse-in-san-juan-near-greenhills-xavier-and-ica.html
Amber Single Modern Minimalist (Bare Finish) 2BR House and Lot for Sale in Futura Hom...,"Concepcion, Koronadal","2,303,029",2,78,117,https://www.lamudi.com.ph/amber-single-modern-minimalist-bare-finish-2br-house-and-lot-for-sale-in-futura-homes-koronadal-south-cotabato.html
"Palanan, Makati: Old house for sale, Lot 222m2, FA 200m2, Ideal for Staffhse","Palanan, Makati","19,900,000",1,200,no info,https://www.lamudi.com.ph/palanan-makati-old-house-for-sale-lot-222m2-fa-200m2-ideal-for-staffhse.html
"3BR House (Bougainvillea Model) for Sale in Ameria, Panabo, Davao del Norte","New Pandan, Panabo","9,222,110",3,129,221,https://www.lamudi.com.ph/3br-house-bougainvillea-model-for-sale-in-ameria-panabo-davao-del-norte.html
4CG with Pool House and Lot in Filinvest 2 Commonwealth Batasan Quezon City,"Batasan Hills, Quezon City","41,500,000",5,500,338,https://www.lamudi.com.ph/4cg-with-pool-house-and-lot-in-filinvest-2-commonwealth-batasan-quezon-city.html
House and lot for Sale at Kelsey hills Muzon San jose Delmonte Bulacan,"Muzon, San Jose del Monte","3,400,000",3,110,100,https://www.lamudi.com.ph/house-and-lot-for-sale-at-kelsey-hills-muzon-san-jose-delmonte-bulacan.html
"House for Sale at Metrogate Subdivision, Angeles City, Pampanga","Capaya, Angeles","10,383,447",4,190,150,https://www.lamudi.com.ph/house-for-sale-at-metrogate-subdivision-angeles-city-pampanga.html
Enormous and Luxurious House and lot in Vista Real Classica Quezon City,"Batasan Hills, Quezon City","50,000,000",5,850,344,https://www.lamudi.com.ph/enormous-and-luxurious-house-and-lot-in-vista-real-classica-quezon-city-5.html
2CG 2 Storey Townhouse for sale in Tandang Sora house Quezon City NIA Village,"Tandang Sora, Quezon City","7,400,000",3,117,60,https://www.lamudi.com.ph/2cg-2-storey-townhouse-for-sale-in-tandang-sora-house-quezon-city-nia-village.html
"For Sale: Single Attached-Complete House and Lot in North Orchard Residences, Sta. Ma...","Caysio, Santa Maria","4,297,800",3,112,80,https://www.lamudi.com.ph/for-sale-single-attached-complete-house-and-lot-in-north-orchard-residences-sta-maria-bulacan.html
House For Sale Elegant Home in Prestigious & Exclusive Insular Vil West in Davao,"Vicente Hizon Sr., Davao",no info,6,548,1068,https://www.lamudi.com.ph/house-for-sale-elegant-home-in-prestigious-exclusive-insular-vil-west-in-davao.html
"RFO House & Lot For Sale in Amaresa 2, San Jose del Monte, Bulacan","Muzon, San Jose del Monte","6,036,800",4,111,110,https://www.lamudi.com.ph/rfo-house-lot-for-sale-in-amaresa-2-san-jose-del-monte-bulacan.html
"Danessa 1BR House and Lot for Sale in Punta Altezza, Ciudad de Calamba, Laguna","Punta, Calamba","1,842,944",1,100,144,https://www.lamudi.com.ph/danessa-1br-house-and-lot-for-sale-in-punta-altezza-ciudad-de-calamba-laguna.html
"L-TH-1-166- Acquired Property for Sale in Lot 3, Block 2, Dalia St., Marian Heights S...","Kayumanggi, Lipa","1,275,638",no info,53,38,https://www.lamudi.com.ph/l-th-1-166-acquired-property-for-sale-in-lot-3-block-2-dalia-st-marian-heights-subdivision-brgy-kayumanggi-lipa-city-batangas-1.html
Rush Sale! Enchanting Big House and Lot - Duplex at Multinational Village,"Moonwalk, Paranaque","59,850,000",11,1200,586,https://www.lamudi.com.ph/rush-sale-enchanting-big-house-and-lot-duplex-at-multinational-village.html
"For Sale 3 Bedroom Home in Ferndale Villas Q.C in Pasong Tamo, Quezon City","Pasong Tamo, Quezon City","20,000,000",3,185,185,https://www.lamudi.com.ph/for-sale-3-bedroom-home-in-ferndale-villas-q-c-in-pasong-tamo-quezon-city.html
"Townhouse For Sale 6 Bedroom in New Manila, Quezon City For Sale","New Manila, Quezon City","80,000,000",6,516,no info,https://www.lamudi.com.ph/townhouse-for-sale-6-bedroom-in-new-manila-quezon-city-for-sale.html
Single Detached House for Sale in North Fairview Subd Beside the MRT in Fairview,"Fairview, Quezon City","8,500,000",3,240,88,https://www.lamudi.com.ph/single-detached-house-for-sale-in-north-fairview-subd-beside-the-mrt-in-fairview.html
Luxurious Pool Villa For Sale In Clark Pampanga Philippines,"Clark, Mabalacat","20,000,000",6,480,380,https://www.lamudi.com.ph/luxurious-pool-villa-for-sale-in-clark-pampanga-philippines.html
"2-Storey House (Acacia Model) for Sale in Ameria, Panabo, Davao del Norte","New Pandan, Panabo","14,000,000",4,254,337,https://www.lamudi.com.ph/2-storey-house-acacia-model-for-sale-in-ameria-panabo-davao-del-norte.html
3 bedroom Townhouse For Sale in PHASE 4 Greenland Executive Village Cainta Rizal,"San Roque, Cainta","4,000,000",3,82,80,https://www.lamudi.com.ph/3-bedroom-townhouse-for-sale-in-phase-4-greenland-executive-village-cainta-rizal.html
Airy Brand new modern and elegance finish house and lot for sale in Quezon City,"Batasan Hills, Quezon City","21,500,000",4,320,260,https://www.lamudi.com.ph/airy-brand-new-modern-and-elegance-finish-house-and-lot-for-sale-in-quezon-city-25.html
"ROSE (Bare 2-Storey End Unit) - Marytown Place, Sta. Maria Bulacan, 1.6M","Bulac, Santa Maria","1,600,000",1,46,57,https://www.lamudi.com.ph/rose-bare-2-storey-end-unit-marytown-place-sta-maria-bulacan-1-6m.html
Luxury House and Lot for Sale in Fairmont Hill with 6 Bedrooms and 6 CG PH2317,"Dela Paz, Antipolo","60,000,000",6,1000,3213,https://www.lamudi.com.ph/luxury-house-and-lot-for-sale-in-fairmont-hill-with-6-bedrooms-and-6-cg-ph2317-1.html
"Duplex House For Sale at Palanan, Sta. Mesa Heights, Quezon City","San Vicente, Quezon City","35,000,000",5,420,132,https://www.lamudi.com.ph/duplex-house-for-sale-at-palanan-sta-mesa-heights-quezon-city.html
New House and Lot For Sale in Filinvest 2 Batasan near Commonwealth Quezon City,"Commonwealth, Quezon City","27,000,000",4,307,240,https://www.lamudi.com.ph/new-house-and-lot-for-sale-in-filinvest-2-batasan-near-commonwealth-quezon-city.html
"Walnut 3BR House and Lot for Sale in Savannah Fields, General Trias, Cavite","San Francisco, General Trias","2,892,560",3,110,175,https://www.lamudi.com.ph/walnut-3br-house-and-lot-for-sale-in-savannah-fields-general-trias-cavite.html
